Content;Author;Date;Language;Location;Number of Likes;Number of Retweets;In Reply To;Author Name;Author Description;Author Tweets Count;Author Following Count;Author Followers Count;Author Listed Count;Author Verified;Longitude;Latitude
"Sejumlah pengungsi korban gempa di Kabupaten Cianjur yang masih mendiami tenda-tenda terindikasi mengalami gangguan mental emosional. Bahkan, angka persentase penderitanya relatif cukup tinggi.

#MedcomID 

 https://t.co/CFINXeSfC4 via @medcom_id";@medcom_id;18/12/2022 11:09;in;;0;0;;medcom_id;https://t.co/HgJ9GzPiao is part of Media Group Network, a leader in multi-platform news and information. #CekDuluMedcom  #MudaMemilahMemilih;3581580;440;429940;800;TRUE;;
"#FPIJawaBarat

MPI FPI Jabar Gelar Trauma Healing untuk Anak-anak Korban Gempa Cianjur di Cugenang (18/12/2022) https://t.co/3nWkNFP3eD";@hero212142;18/12/2022 10:58;in;;10;0;;Hero212;Amar Ma'ruf Nahi Munkar;23060;16280;15300;0;FALSE;;
14 Desember 2022. Yayasan SD ASIH MULIA LAKSANA Serahkan donasi Bantuan untuk korban gempa Cianjur @ Cianjur - Jawabarat - Indonesia https://t.co/u6cMy30xCo;@Alhiday23203783;18/12/2022 10:55;in;;0;0;;Alhidayah;laki-laki;16720;1630;430;0;FALSE;;
"Terimakasih untuk para donatur, dan semua pihak yg terlibat dlm kegiatan peduli gempa Cianjur. Semoga Allah SWT senantiasa membalasnya dg keberkahan &amp; imbalan pahala, Aamiin ?? kami dri Ikatan Alumni Lintas Angkatan SMAN 96 (17122022)
#peduligempacianjur https://t.co/uGxWi6SLAL https://t.co/RbjtXATxon";@anaslyamardhia;18/12/2022 10:36;in;;0;0;;mom Anas;keep pray and ikhtiar ??;32430;3330;950;0;FALSE;;
Bantuan Kalimantan Selatan Telah Diterima Korban Gempa Cianjur https://t.co/tihDp3fz9n;@Katajaricom;18/12/2022 10:09;in;;0;0;;Katajari;Perusahaan Media/Berita;8970;30;10;0;FALSE;;
Peduli Korban Gempa Cianjur, Rutan Cipinang Kemenkumham DKI Jakarta Ikuti Kegiatan Kumham Peduli Cianjur https://t.co/GOcgSZYCRe;@BigNews244;18/12/2022 09:40;in;;0;0;;Big News;"Big News Portal Berita
yang mengabarkan Berbagai berita Politik,Olahraga,Sosial dan Lainnya
https://t.co/jSQv3NhjWv";8660;70;0;0;FALSE;;
"Ganjar kirim bantuan senilai RP 1,87 Miliar untuk korban Gempa Cianjur
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/kIAn7Ru86K";@ahonk_deny;18/12/2022 09:33;in;ID;0;0;@ahonk_deny;Ahonk;;6750;8260;2400;0;FALSE;;
Jalankan instruksi Ketum bantu korban gempa Cianjur https://t.co/sFEFz11o2F #AHYPimpinPerubahan;@wanmohguntar;18/12/2022 09:12;in;;0;0;;Wan M Guntar S Baros;;168530;8400;5850;60;FALSE;;
Paska gempa Cianjur hari ke 27 back camp pengungsian demi orang tua yg sdh sepuh ,sing cager dan panjang umur ?????? https://t.co/VIpq64eOqT;@0706Fpaw;18/12/2022 08:25;in;;0;0;;@fpaw_0706;teruslah berbuat baik hingga akhir hayat ??????;540;150;10;0;FALSE;;
Kemensos Salurkan Bantuan Tunai Bagi 30 Anak Yatim Piatu Paska Gempa Cianjur https://t.co/zIiwyIG660;@WartaEkonomi;18/12/2022 08:20;in;;0;0;;Warta Ekonomi;Official Twitter Account of Warta Ekonomi Magazine & Online | https://t.co/mHgbutZlEq | Contact : wartaekonominews@gmail.com;4284500;22380;311570;1500;FALSE;;
