Content;Author;Date;Language;Location;Number of Likes;Number of Retweets;In Reply To;Author Name;Author Description;Author Tweets Count;Author Following Count;Author Followers Count;Author Listed Count;Author Verified;Longitude;Latitude
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@KeylaIstiqomah;17/12/2022 06:44;in;;0;0;;Keyla Istiqomah;cuma manusia biasa;3850;5300;2550;0;FALSE;;
"Menteri Pertahanan Republik Indonesia Prabowo Subianto turun langsung meninjau korban bencana gempa Cianjur di RSUD Sayang dan tenda pengungsi.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@AnzanyFany;17/12/2022 06:44;in;;0;0;;Fany Anzany;overthinker;2950;1140;710;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@ferdianadptra;17/12/2022 06:44;in;;0;0;;Ferdian Adi Putra;keep calm;2890;4820;2020;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@NinaZatulini223;17/12/2022 06:44;in;;0;0;;Nina Zatulini;suka gabut;2790;900;600;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@AnzanyFany;17/12/2022 06:44;in;;0;0;;Fany Anzany;overthinker;2950;1140;710;0;FALSE;;
"Tim Kemendagri sangat mengapresiasi Tim Kemanusiaan BIN.
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama
https://t.co/V71OeXKQNe";@rumaysho_r;17/12/2022 06:44;in;;0;0;;Rasyid Rumaysho;Siapapun diri anda, kita semua punya sesuatu yang istimewa;1590;350;10;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@JesicaIsmi;17/12/2022 06:43;in;;0;0;;Jesica Ismi;new;4120;1080;680;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@NirmalaZahro;17/12/2022 06:43;in;;0;0;;Zahro Nirmala;enjoy;3020;1110;410;0;FALSE;;
"Menteri Pertahanan Republik Indonesia Prabowo Subianto turun langsung meninjau korban bencana gempa Cianjur di RSUD Sayang dan tenda pengungsi.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@RyanGustiawann_;17/12/2022 06:43;in;;0;0;;Ryan Gustiawan;lovable;5640;640;440;0;FALSE;;
"Prabowo juga mendampingi Presiden RI Joko Widodo yang mengunjungi para pengungsi korban gempa Cianjur serta meninjau Rumah Sakit Sayang Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@BPragestu;17/12/2022 06:43;in;;0;0;;Bian Pragestu;Careless;6250;1340;590;0;FALSE;;
